task_num,micro_tag,text,correct_answer,explanation
8,синтаксис_ошибки,"Установите соответствие между грамматическими ошибками и предложениями, в которых они допущены: к каждой позиции первого столбца подберите соответствующую позицию из второго столбца.\n\nГРАММАТИЧЕСКИЕ ОШИБКИ:\nА) нарушение в построении предложения с несогласованным приложением\nБ) неправильное построение сложного предложения\nВ) нарушение в построении предложения с деепричастным оборотом\nГ) неправильное употребление падежной формы существительного с предлогом\nД) ошибка в построении предложения с однородными членами\n\nПРЕДЛОЖЕНИЯ:\n1) Мы посмотрели документальный фильм «Титаник».\n2) Благодаря хорошей погоды урожай был богатым.\n3) Окончив университет, его приняли на хорошую работу.\n4) В поэме «Мертвых душах» Гоголь изобразил помещиков.\n5) Ученик сказал то, что он забыл дневник.\n6) Как взрослые, так и дети радовались наступившему празднику.\n7) Он любил как яблоки, а также груши.\n8) Согласно приказу директора, завтра объявлен выходной.\n9) Подходя к лесу, мы услышали звонкое пение птиц.",45327,"А — 4 (в поэме «Мертвые души»), Б — 5 (лишнее указательное слово «то»), В — 3 (действие деепричастия не относится к подлежащему), Г — 2 (благодаря погодЕ), Д — 7 (искажение парного союза «как... так и»). Ответ: 45327"
8,синтаксис_ошибки,"Установите соответствие между грамматическими ошибками и предложениями, в которых они допущены: к каждой позиции первого столбца подберите соответствующую позицию из второго столбца.\n\nГРАММАТИЧЕСКИЕ ОШИБКИ:\nА) нарушение связи между подлежащим и сказуемым\nБ) нарушение в построении предложения с причастным оборотом\nВ) неправильное построение предложения с косвенной речью\nГ) ошибка в построении предложения с однородными членами\nД) нарушение в построении предложения с деепричастным оборотом\n\nПРЕДЛОЖЕНИЯ:\n1) Те, кто готовился к экзамену, сдал его на отлично.\n2) Опубликованная статья в журнале вызвала бурные споры.\n3) Тренер сказал спортсменам, что вам нужно больше тренироваться.\n4) Он не только прочитал книгу, но и написал на нее рецензию.\n5) Мы надеемся на успех и что все будет хорошо.\n6) Открывая дверь, она громко скрипнула.\n7) Все, кто был на концерте, аплодировали стоя.\n8) Выполняя задание, студент опирался на лекции профессора.\n9) Книга, лежащая на столе, принадлежит моему брату.",12356,"А — 1 (те сдалИ), Б — 2 (определяемое слово внутри оборота), В — 3 (смешение прямой и косвенной речи, местоимение «вам»), Г — 5 (объединение существительного и придаточного предложения как однородных), Д — 6 (дверь сама себя не открывала). Ответ: 12356"
9,корень,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) выг..реть, пл..вец, к..мпьютер\n2) зар..сли, р..сток, ур..вень\n3) выт..рать, расст..лить, бл..стать\n4) к..саться, изл..гать, п..норама\n5) щ..бетать, ум..рать, оп..раться",124,"1) выгОреть, плОвец, кОмпьютер; 2) зарОсли, рОсток, урОвень; 3) вытИрать, расстЕлить, блИстать; 4) кАсаться, излАгать, пАнорама; 5) щЕбетать, умИрать, опИраться. Ответ: 124"
9,корень,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) прил..гательное, м..кулатура, выр..стать\n2) ст..реть, изм..рять, зам..реть\n3) оп..раться, выт..реть, зап..реть\n4) п..лисадник, экз..менатор, к..рнавал\n5) т..релка, ф..нарь, к..нфорка",124,"1) прилАгательное, мАкулатура, вырАстать; 2) стЕреть, измЕрять (мЕрка), замЕреть; 3) опИраться, вытЕреть, запЕреть; 4) пАлисадник, экзАменатор, кАрнавал; 5) тАрелка, фОнарь, кОнфорка. Ответ: 124"
9,корень,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) г..ризонт, обл..котиться, прил..жение\n2) акв..рель, пл..вучий, к..сательная\n3) разб..рать, бл..стеть, оп..раться\n4) заж..гать, выч..тать, д..ректива\n5) м..ценат, ц..ремония, выст..лать",124,"1) гОризонт, облОкотиться, прилОжение; 2) аквАрель, плАвучий, кАсательная; 3) разбИрать, блЕстеть, опИраться; 4) зажИгать, вычИтать, дИректива; 5) мЕценат, цЕремония, выстИлать. Ответ: 124"
9,корень,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) тв..рец, к..мпромисс, прик..сновение\n2) ут..пический, п..литра, к..варный\n3) выт..рпеть, сб..регать, зам..рли\n4) зап..вать (лекарство), оч..ровать, к..мпаньон\n5) наст..лать, ц..клон, прив..легия",135,"1) твОрец, кОмпромисс, прикОсновение; 2) утОпический, пАлитра, кОварный; 3) вытЕрпеть, сбЕрегать, замЕрли; 4) запИвать, очАровать, кОмпаньон; 5) настИлать, цИклон, привИлегия. Ответ: 135"
9,корень,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) п..рламент, об..яние, к..сательная\n2) выч..сть, соч..тание, расст..лить\n3) ст..листический, бл..стательный, л..нгвистика\n4) укр..титель, выск..чить, г..рнир\n5) м..рмелад, об..ятельный, отр..сль",1235,"1) пАрламент, обАяние, кАсательная; 2) вычЕсть, сочЕтание, расстЕлить; 3) стИлистический, блИстательный, лИнгвистика; 4) укрОтитель, выскОчить, гАрнир; 5) мАрмелад, обАятельный, отрАсль. Ответ: 1235"
9,корень,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) ск..чок, оз..рение, м..кулатура\n2) п..риод, д..ректор, ст..реть\n3) прет..ндент, экзам..натор, бл..снуть\n4) выр..щенный, аном..лия, г..рмония\n5) п..норама, з..рница, р..внина",1345,"1) скАчок, озАрение, мАкулатура; 2) пЕриод, дИректор, стЕреть; 3) претЕндент, экзамЕнатор, блЕснуть; 4) вырАщенный, аномАлия, гАрмония; 5) пАнорама, зАрница, рАвнина. Ответ: 1345"
9,корень,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) зам..реть, п..рила, т..рраса\n2) обж..гать, д..агноз, п..лисадник\n3) п..литра, к..варный, з..ря\n4) к..лонна, к..мбинезон, водор..сль\n5) разб..раться, зан..маться, м..ниатюра",145,"1) замЕреть, пЕрила, тЕрраса; 2) обжИгать, дИагноз, пАлисадник; 3) пАлитра, кОварный, зАря; 4) кОлонна, кОмбинезон, водорОсль; 5) разбИраться, занИматься, мИниатюра. Ответ: 145"
9,корень,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) уб..рать, ор..ентир, кр..терий\n2) изл..гать, п..рашют, ут..пический\n3) расст..лать, ц..ремония, эст..када\n4) предл..жение, выг..ревший, ант..гонизм\n5) к..нфликт, эв..люция, р..сток",15,"1) убИрать, орИентир, крИтерий; 2) излАгать, пАрашют, утОпический; 3) расстИлать, цЕремония, эстАкада; 4) предлОжение, выгОревший, антАгонизм; 5) кОнфликт, эвОлюция, рОсток. Ответ: 15"
9,корень,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) п..йзаж, т..ория, в..теран\n2) к..ртофель, об..няние, б..гровый\n3) оп..раться, ст..пендия, д..рижёр\n4) пл..вучий, обм..кнуть, экв..тор\n5) ф..стиваль, инт..ллект, зам..реть",1345,"1) пЕйзаж, тЕория, вЕтеран; 2) кАртофель, обОняние, бАгровый; 3) опИраться, стИпендия, дИрижёр; 4) плАвучий, обмАкнуть, эквАтор; 5) фЕстиваль, интЕллект, замЕреть. Ответ: 1345"
9,корень,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) тв..рение, к..ммерсант, отр..сль\n2) д..апазон, д..ректор, изб..ратель\n3) тр..диция, выр..сти, п..норама\n4) прим..рять (друзей), изм..рять (площадь), к..варство\n5) д..серт, в..ликолепный, выст..лить",235,"1) твОрение, кОммерсант, отрАсль; 2) дИапазон, дИректор, избИратель; 3) трАдиция, вырАсти, пАнорама; 4) примИрять, измЕрять, кОварство; 5) дЕсерт, вЕликолепный, выстЕлить. Ответ: 235"
9,корень,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) р..внина, к..стрюля, з..ря\n2) к..ндуктор, уг..реть, п..рламент\n3) л..ловый, л..цензия, заж..гать\n4) разв..ваться (о флаге), ф..зиономия, п..риферия\n5) ш..девр, инж..нер, зам..реть",135,"1) рАвнина, кАстрюля, зАря; 2) кОндуктор, угОреть, пАрламент; 3) лИловый, лИцензия, зажИгать; 4) развЕваться, фИзиономия, пЕриферия; 5) шЕдевр, инжЕнер, замЕреть. Ответ: 135"
9,корень,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) к..морка, т..лант, л..гушка\n2) акв..рельный, эст..када, г..рнир\n3) апп..тит, выт..рпеть, с..реневый\n4) выск..чить, л..гичный, к..нспект\n5) пр..стиж, экстр..мальный, ч..мпион",1245,"1) кАморка, тАлант, лАгушка; 2) аквАрельный, эстАкада, гАрнир; 3) аппЕтит, вытЕрпеть, сИреневый; 4) выскОчить, лОгичный, кОнспект; 5) прЕстиж, экстрЕмальный, чЕмпион. Ответ: 1245"
9,корень,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) эл..ксир, вин..грет, в..нтиляция\n2) б..лкон, г..лактика, м..кака\n3) д..кумент, пол..г, ф..рфоровый\n4) зап..реть, ст..реть, инт..ллект\n5) р..сток, г..релка, в..кзал",245,"1) элИксир, винЕгрет, вЕнтиляция; 2) бАлкон, гАлактика, мАкака; 3) дОкумент, полОг, фАрфоровый; 4) запЕреть, стЕреть, интЕллект; 5) рОсток, гОрелка, вОкзал. Ответ: 245"
9,корень,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) с..лдат, пл..вец, оз..рение\n2) з..рница, ур..внение, обм..кнуть\n3) ф..нтазия, г..рмония, п..литра\n4) г..гантский, ор..гинал, ст..пендия\n5) м..нистр, изв..нение, л..цензия",2345,"1) сОлдат, плОвец, озАрение; 2) зАрница, урАвнение, обмАкнуть; 3) фАнтазия, гАрмония, пАлитра; 4) гИгантский, орИгинал, стИпендия; 5) мИнистр, извИнение, лИцензия. Ответ: 2345"
9,корень,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) выр..щенный, п..роль, п..норама\n2) покл..няться, прик..сновение, ск..чок\n3) ф..номен, ч..мпион, расст..лать\n4) арт..ллерия, уб..рать, д..рижёр\n5) ск..кать, отр..сль, к..сательная",145,"1) вырАщенный, пАроль, пАнорама; 2) поклОняться, прикОсновение, скАчок; 3) фЕномен, чЕмпион, расстИлать; 4) артИллерия, убИрать, дИрижёр; 5) скАкать, отрАсль, кАсательная. Ответ: 145"
9,корень,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) пр..вилегия, ин..циатива, соб..рать\n2) обв..нять, разв..ваться (сюжет), бл..стеть\n3) выг..рать, з..рница, к..варный\n4) выч..сть, соч..тание, инт..ллектуальный\n5) ав..нгард, б..гряный, выр..стать",145,"1) прИвилегия, инИциатива, собИрать; 2) обвИнять, развИваться, блЕстеть; 3) выгОрать, зАрница, кОварный; 4) вычЕсть, сочЕтание, интЕллектуальный; 5) авАнгард, бАгряный, вырАстать. Ответ: 145"
9,корень,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) п..лисадник, л..биринт, акв..рель\n2) д..ректор, ст..листика, бл..стать\n3) п..йзаж, п..риод, наст..лать\n4) к..ндуктор, ф..рфор, пл..вец\n5) р..стовщик, к..мбинезон, г..ризонт",125,"1) пАлисадник, лАбиринт, аквАрель; 2) дИректор, стИлистика, блИстать; 3) пЕйзаж, пЕриод, настИлать; 4) кОндуктор, фАрфор, плОвец; 5) рОстовщик, кОмбинезон, гОризонт. Ответ: 125"
9,корень,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) экз..менатор, гр..мадный, м..кулатура\n2) эл..мент, экстр..мальный, соч..тание\n3) р..стовщик, попл..вок, прил..жение\n4) п..норама, г..рнир, к..сательная\n5) ор..ентир, разб..рать, д..алог",245,"1) экзАменатор, грОмадный, мАкулатура; 2) элЕмент, экстрЕмальный, сочЕтание; 3) рОстовщик, поплАвок, прилОжение; 4) пАнорама, гАрнир, кАсательная; 5) орИентир, разбИрать, дИалог. Ответ: 245"
9,корень,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) прим..рять (платье), зам..реть, п..рила\n2) бл..стательный, выт..рать, пр..оритет\n3) ум..рать, б..седа, л..генда\n4) г..релка, оз..рять, тв..рец\n5) м..гистраль, выр..щенный, р..внина",125,"1) примЕрять, замЕреть, пЕрила; 2) блИстательный, вытИрать, прИоритет; 3) умИрать, бЕседа, лЕгенда; 4) гОрелка, озАрять, твОрец; 5) мАгистраль, вырАщенный, рАвнина. Ответ: 125"
9,корень,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) г..ризонт, об..яние, м..тивировать\n2) л..нолеум, ст..пендия, выт..рать\n3) ст..реть, д..серт, в..теран\n4) б..гряный, п..литра, к..рнавал\n5) попл..вок, р..сток, г..реть",234,"1) гОризонт, обАяние, мОтивировать; 2) лИнолеум, стИпендия, вытИрать; 3) стЕреть, дЕсерт, вЕтеран; 4) бАгряный, пАлитра, кАрнавал; 5) поплАвок, рОсток, гОреть. Ответ: 234"
10,приставки,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) пр..мудрый, пр..одолеть, пр..рекаться\n2) бе..дарный, и..бежать, ра..грызть\n3) от..брать, п..дскочить, нед..варить\n4) в..юга, п..еса, бул..он\n5) сверх..нтересный, меж..нститутский, по..ск",12345,"1) прЕмудрый, прЕодолеть, прЕрекаться; 2) беЗдарный, иЗбежать, раЗгрызть; 3) отОбрать, пОдскочить, недОварить; 4) вЬюга, пЬеса, булЬон; 5) сверхИнтересный, межИнститутский, поИск. Ответ: 12345"
10,приставки,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) и..подтишка, ра..щедриться, бе..шумный\n2) под..тожить, дез..нформация, без..сходный\n3) пр..рвать, пр..емник (традиций), пр..успеть\n4) не..бхватный, п..дшутить, н..дписать\n5) об..ятие, с..ёмка, под..ём",135,"1) иСподтишка, раСщедриться, беСшумный; 2) подЫтожить, дезИнформация, безЫсходный; 3) прЕрвать, прЕемник, прЕуспеть; 4) неОбхватный, пОдшутить, нАдписать; 5) обЪятие, сЪёмка, подЪём. Ответ: 135"
10,приставки,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) сверх..зысканный, меж..гровой, вз..мать\n2) и..черпать, ни..падать, во..кликнуть\n3) пр..школьный, пр..морский, пр..бывать (в город)\n4) с..трудник, п..ход, з..работок\n5) с..едобный, ин..екция, из..ян",1235,"1) сверхИзысканный, межИгровой, взИмать; 2) иСчерпать, ниСпадать, воСкликнуть; 3) прИшкольный, прИморский, прИбывать; 4) сОтрудник, пОход, зАработок; 5) сЪедобный, инЪекция, изЪян. Ответ: 1235"
10,приставки,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) ра..жечь, и..зябнуть, в..бодрить\n2) пр..следовать, пр..небрегать, пр..пятствие\n3) от..мкнуть, под..звать, об..гнуть\n4) от..граться, раз..скать, без..сходный\n5) необ..ятный, с..ёжиться, п..едестал",1234,"1) раЗжечь, иЗзябнуть, вЗбодрить; 2) прЕследовать, прЕнебрегать, прЕпятствие; 3) отОмкнуть, подОзвать, обОгнуть; 4) отЫграться, разЫскать, безЫсходный; 5) необЪятный, сЪёжиться, пЬедестал. Ответ: 1234"
10,приставки,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) пр..чудливый, пр..митивный, пр..тензия\n2) бе..компромиссный, чере..чур, ра..считать\n3) вз..скать, без..нвентарный, под..тожить\n4) п..дсказка, ..тдалить, п..никнуть\n5) ад..ютант, ин..екция, кон..юнктура",2345,"1) прИчудливый, прИмитивный, прЕтензия; 2) беСкомпромиссный, череСчур, раСсчитать; 3) взЫскать, безЫнвентарный, подЫтожить; 4) пОдсказка, Отдалить, пОникнуть; 5) адЪютант, инЪекция, конЪюнктура. Ответ: 2345"
10,приставки,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) пр..образ, нед..варить, п..додвинуть\n2) пр..следовать, пр..зидент, пр..тендент\n3) ..десь, ..дание, не..держанный\n4) сверх..нициативный, пан..сламизм, мед..нститут\n5) из..ян, об..ёмный, п..янство",124,"1) прОобраз, недОварить, пОдодвинуть; 2) прЕследовать, прЕзидент, прЕтендент; 3) Здесь, Здание, неСдержанный; 4) сверхИнициативный, панИсламизм, медИнститут; 5) изЪян, обЪёмный, пЬянство. Ответ: 124"
10,приставки,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) бе..полезный, и..царапать, во..кликнуть\n2) пр..бывать (на станции), пр..мерять (костюм), пр..обрести\n3) от..скать, раз..грать, пред..дущий\n4) не..тъемлемый, з..головок, пр..бабушка\n5) с..езд, пред..юбилейный, двух..ярусный",135,"1) беСполезный, иСцарапать, воСкликнуть; 2) прЕбывать, прИмерять, прИобрести; 3) отЫскать, разЫграть, предЫдущий; 4) неОтъемлемый, зАголовок, прАбабушка; 5) сЪезд, предЪюбилейный, двухЪярусный. Ответ: 135"
10,приставки,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) непр..ступная (скала), пр..митивный, пр..чуда\n2) чере..чур, и..чезнуть, бе..цельный\n3) с..змала, пред..стория, из..скать\n4) пр..язык, з..работать, н..дпись\n5) п..едестал, в..юнок, с..ёмка",1234,"1) непрИступная, прИмитивный, прИчуда; 2) череСчур, иСчезнуть, беСцельный; 3) сЫзмала, предЫстория, изЫскать; 4) прАязык, зАработать, нАдпись; 5) пЬедестал, вЬюнок, сЪёмка. Ответ: 1234"
10,приставки,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) бе..граничный, во..гордиться, и..зябнуть\n2) пр..града, пр..рвать, пр..мудрый\n3) супер..гра, вз..мать, дез..нформация\n4) под..езд, из..ян, с..ёмка\n5) не..тступно, п..ддакивать, ..тбросить",12345,"1) беЗграничный, воЗгордиться, иЗзябнуть; 2) прЕграда, прЕрвать, прЕмудрый; 3) суперИгра, взИмать, дезИнформация; 4) подЪезд, изЪян, сЪёмка; 5) неОтступно, пОддакивать, Отбросить. Ответ: 12345"
10,приставки,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) ра..кроить, бе..шумный, и..портить\n2) пр..творить (дверь), пр..сесть, пр..морский\n3) раз..скать, от..граться, без..скусный\n4) с..трудник, пр..родина, нед..варить\n5) двух..ярусный, пред..юбилейный, п..еса",123,"1) раСкроить, беСшумный, иСпортить; 2) прИтворить, прИсесть, прИморский; 3) разЫскать, отЫграться, безЫскусный; 4) сОтрудник, прАродина, недОварить; 5) двухЪярусный, предЪюбилейный, пЬеса. Ответ: 123"
10,приставки,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) пр..одолеть, пр..рекаться, пр..следовать\n2) ра..будить, бе..жалостный, и..давать\n3) меж..нститутский, по..стине, сверх..зысканный\n4) пред..ставить, п..дсказать, ..тдать\n5) п..дписать, н..дломить, пр..бабушка",1234,"1) прЕодолеть, прЕрекаться, прЕследовать; 2) раЗбудить, беЗжалостный, иЗдавать; 3) межИнститутский, поИстине, сверхИзысканный; 4) предОставить, пОдсказать, Отдать; 5) пОдписать, нАдломить, прАбабушка. Ответ: 1234"
10,приставки,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) ни..провергать, бе..конечный, и..текать\n2) пр..бывать (на станцию), пр..поднять, пр..клеить\n3) пред..нфарктный, под..скать, без..нтересный\n4) об..ём, ин..екция, ад..ютант\n5) не..хватный, д..верху, п..дмигнуть",12345,"1) ниСпровергать, беСконечный, иСтекать; 2) прИбывать, прИподнять, прИклеить; 3) предЫнфарктный, подЫскать, безЫнтересный; 4) обЪём, инЪекция, адЪютант; 5) неОбхватный, дОверху, пОдмигнуть. Ответ: 12345"
10,приставки,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) пр..увеличить, пр..кратить, пр..образовать\n2) во..создать, ни..падать, бе..характерный\n3) вз..мать, супер..нтересный, меж..гровой\n4) под..езд, от..явленный, в..юга\n5) п..дсказка, п..завчера, ..тблеск",1235,"1) прЕувеличить, прЕкратить, прЕобразовать; 2) воСсоздать, ниСпадать, беСхарактерный; 3) взИмать, суперИнтересный, межИгровой; 4) подЪезд, отЪявленный, вЬюга; 5) пОдсказка, пОзавчера, Отблеск. Ответ: 1235"
10,приставки,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) не..сдобровать, бе..вкусный, ..дание\n2) пр..чудливый, пр..тензия, пр..митивный\n3) пред..стория, без..сходный, от..грать\n4) об..скать, раз..грать, под..тожить\n5) зав..южило, сер..езный, п..еса",345,"1) неСдобровать, беЗвкусный, Здание; 2) прИчудливый, прЕтензия, прИмитивный; 3) предЫстория, безЫсходный, отЫграть; 4) обЫскать, разЫграть, подЫтожить; 5) завЬюжило, серЬезный, пЬеса. Ответ: 345"
10,приставки,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) пр..следовать, пр..зидент, пр..тендент\n2) бе..церемонный, и..царапать, ра..щедриться\n3) под..езд, с..ёмка, пред..юбилейный\n4) дез..нформация, пост..нфарктный, супер..гра\n5) з..головок, пр..дедушка, н..дписать",12345,"1) прЕследовать, прЕзидент, прЕтендент; 2) беСцеремонный, иСцарапать, раСщедриться; 3) подЪезд, сЪёмка, предЪюбилейный; 4) дезИнформация, постИнфарктный, суперИгра; 5) зАголовок, прАдедушка, нАдписать. Ответ: 12345"
10,приставки,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) пр..терпеться (к боли), пр..ручить, пр..вратник\n2) ра..жечь, и..зябнуть, в..бодрить\n3) с..змала, раз..скать, пред..дущий\n4) п..дбросить, ..тдать, д..бела\n5) п..едестал, ад..ютант, об..ём",1234,"1) прИтерпеться, прИручить, прИвратник; 2) раЗжечь, иЗзябнуть, вЗбодрить; 3) сЫзмала, разЫскать, предЫдущий; 4) пОдбросить, Отдать, дОбела; 5) пЬедестал, адЪютант, обЪём. Ответ: 1234"
10,приставки,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) и..подтишка, ра..щедриться, бе..шумный\n2) без..сходный, раз..скать, пред..стория\n3) пр..пятствие, пр..одолеть, пр..рекаться\n4) п..дмигнуть, пр..родитель, ..тдалить\n5) об..ятие, с..ёмка, под..ём",1235,"1) иСподтишка, раСщедриться, беСшумный; 2) безЫсходный, разЫскать, предЫстория; 3) прЕпятствие, прЕодолеть, прЕрекаться; 4) пОдмигнуть, прАродитель, Отдалить; 5) обЪятие, сЪёмка, подЪём. Ответ: 1235"
10,приставки,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) вз..скать, без..нвентарный, под..тожить\n2) п..дсказка, ..тдалить, п..никнуть\n3) пр..чудливый, непр..ступный, пр..вилегия\n4) ад..ютант, ин..екция, кон..юнктура\n5) бе..компромиссный, чере..чур, ра..считать",12345,"1) взЫскать, безЫнвентарный, подЫтожить; 2) пОдсказка, Отдалить, пОникнуть; 3) прИчудливый, непрИступный, прИвилегия; 4) адЪютант, инЪекция, конЪюнктура; 5) беСкомпромиссный, череСчур, раСсчитать. Ответ: 12345"
10,приставки,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) пр..образ, нед..варить, п..додвинуть\n2) пр..следовать, пр..небрегать, пр..пятствие\n3) сверх..нициативный, пан..сламизм, мед..нститут\n4) ра..будить, бе..донный, в..дохнуть\n5) в..юга, п..еса, бул..он",12345,"1) прОобраз, недОварить, пОдодвинуть; 2) прЕследовать, прЕнебрегать, прЕпятствие; 3) сверхИнициативный, панИсламизм, медИнститут; 4) раЗбудить, беЗдонный, вЗдохнуть; 5) вЬюга, пЬеса, булЬон. Ответ: 12345"
10,приставки,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) бе..полезный, и..царапать, во..кликнуть\n2) пр..бывать (в город), пр..митивный, пр..чуда\n3) от..скать, раз..грать, пред..дущий\n4) с..езд, пред..юбилейный, двух..ярусный\n5) з..головок, пр..бабушка, н..дпись",12345,"1) беСполезный, иСцарапать, воСкликнуть; 2) прИбывать, прИмитивный, прИчуда; 3) отЫскать, разЫграть, предЫдущий; 4) сЪезд, предЪюбилейный, двухЪярусный; 5) зАголовок, прАбабушка, нАдпись. Ответ: 12345"
11,суффиксы,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) заботл..вый, завистл..вый\n2) затм..вать, подароч..к\n3) алюмини..вый, гуттаперч..вый\n4) издавн.., справ..\n5) письм..цо, кресл..це",1234,"1) заботлИвый, завистлИвый; 2) затмЕвать, подарочЕк; 3) алюминиЕвый, гуттаперчЕвый; 4) издавнА, справА; 5) письмЕцо, креслИце. Ответ: 1234"
11,суффиксы,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) юрод..вый, придирч..вый\n2) продл..вать, фланел..вый\n3) ноч..вать, корч..вать\n4) развед..вать, команд..вать\n5) надолг.., досрочн..",1235,"1) юродИвый, придирчИвый; 2) продлЕвать, фланелЕвый; 3) ночЕвать, корчЕвать; 4) разведЫвать, командОвать; 5) надолгО, досрочнО. Ответ: 1235"
11,суффиксы,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) син..ватый, потч..вать\n2) разборч..вый, улыбч..вый\n3) снов.., досух..\n4) нищ..та, больш..нство\n5) жемчуж..нка, трещ..нка",1235,"1) синЕватый, потчЕвать; 2) разборчИвый, улыбчИвый; 3) сновА, досухА; 4) нищЕта, большИнство; 5) жемчужИнка, трещИнка. Ответ: 1235"
11,суффиксы,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) расстра..ваться, усва..вать\n2) никел..вый, наста..вать\n3) луков..ца, пугов..ца\n4) досух.., направ..\n5) письм..цо, солом..нка",13,"1) расстраИваться, усваИвать; 2) никелЕвый, настаИвать; 3) луковИца, пуговИца; 4) досухА, направО; 5) письмЕцо, соломИнка. Ответ: 13"
11,суффиксы,"Укажите варианты ответов, в которых во всех словах одного ряда пропущена одна и та же буква. Запишите номера ответов.\n1) француж..нка, вишн..нка\n2) глянц..вый, марл..вый\n3) удост..ивать, застр..вать\n4) дружоч..к, замоч..к\n5) налев.., запрост..",1245,"1) францужЕнка, вишнЕнка; 2) глянцЕвый, марлЕвый; 3) удостаИвать, застрЕвать; 4) дружочЕк, замочЕк; 5) налевО, запростО. Ответ: 1245"
